Time (hh:mm:ss),Detection confidence (%),Order,Order confidence (%),Family,Family confidence (%),Species (English name),Species (scientific name),Species (4-letter code),Species confidence (%)
00:02:41.10,70.80%,Passeriformes,99.90%,Turdidae,99.72%,Swainson's thrush,Catharus ustulatus,SWTH,99.45%
00:02:41.84,99.99%,Passeriformes,99.99%,Turdidae,73.77%,Swainson's thrush,Catharus ustulatus,SWTH,60.59%
00:02:45.84,99.99%,Passeriformes,99.96%,Turdidae,99.64%,Swainson's thrush,Catharus ustulatus,SWTH,84.50%
00:02:46.97,99.99%,Passeriformes,99.99%,Turdidae,98.91%,Swainson's thrush,Catharus ustulatus,SWTH,82.16%
00:02:48.36,68.36%,Passeriformes,99.82%,Turdidae,88.75%,other,,,51.45%
00:02:49.24,61.88%,Passeriformes,63.36%,,86.36%,other,,,86.36%
00:02:49.74,63.93%,Passeriformes,62.31%,,68.32%,other,,,68.32%
00:02:50.38,59.84%,Passeriformes,99.22%,Turdidae,84.03%,Swainson's thrush,Catharus ustulatus,SWTH,61.16%
00:02:51.71,63.85%,Passeriformes,99.89%,Parulidae,91.44%,Ovenbird,Seiurus aurocapilla,OVEN,85.17%
00:02:52.85,51.78%,Passeriformes,92.82%,,63.28%,other,,,63.28%
00:02:54.92,57.04%,Passeriformes,98.27%,Parulidae,75.40%,other,,,83.26%
00:02:55.76,99.99%,Passeriformes,96.31%,Turdidae,93.24%,Swainson's thrush,Catharus ustulatus,SWTH,66.72%
00:02:56.60,99.99%,Passeriformes,100.00%,Parulidae,95.52%,American redstart,Setophaga ruticilla,AMRE,87.97%
00:03:01.93,99.99%,Passeriformes,99.48%,Turdidae,66.98%,other,,,60.29%
00:03:05.92,64.07%,Passeriformes,99.97%,Turdidae,52.51%,other,,,56.44%
00:03:07.99,95.02%,Passeriformes,99.45%,Passerellidae,51.58%,Savannah sparrow,Passerculus sandwichensis,SAVS,53.86%
00:03:09.82,68.15%,Passeriformes,100.00%,Turdidae,99.99%,Swainson's thrush,Catharus ustulatus,SWTH,98.51%
00:03:10.46,99.99%,Passeriformes,99.99%,Turdidae,64.95%,other,,,99.82%
00:03:10.76,58.25%,Passeriformes,98.98%,Turdidae,88.98%,Swainson's thrush,Catharus ustulatus,SWTH,73.45%
00:03:21.56,62.96%,Passeriformes,99.94%,Turdidae,83.72%,Swainson's thrush,Catharus ustulatus,SWTH,76.90%
00:03:28.77,58.94%,Passeriformes,99.71%,Turdidae,99.55%,Swainson's thrush,Catharus ustulatus,SWTH,89.40%
00:03:29.31,68.28%,Passeriformes,99.97%,Turdidae,66.75%,other,,,67.46%
00:03:33.36,99.99%,Passeriformes,99.98%,Turdidae,98.96%,Swainson's thrush,Catharus ustulatus,SWTH,52.08%
00:03:37.11,52.86%,Passeriformes,69.38%,,74.16%,other,,,74.16%
00:03:38.98,57.25%,Passeriformes,99.49%,Turdidae,60.05%,Swainson's thrush,Catharus ustulatus,SWTH,50.09%
00:03:39.57,57.29%,Passeriformes,99.73%,Turdidae,98.82%,Swainson's thrush,Catharus ustulatus,SWTH,88.71%
00:03:39.67,61.49%,Passeriformes,99.98%,Turdidae,99.68%,Swainson's thrush,Catharus ustulatus,SWTH,78.29%
00:03:41.74,64.30%,Passeriformes,99.99%,Turdidae,99.99%,Swainson's thrush,Catharus ustulatus,SWTH,99.97%
00:03:42.53,56.56%,Passeriformes,99.53%,Turdidae,89.42%,other,,,80.73%
00:03:47.42,54.16%,Passeriformes,99.76%,Turdidae,98.63%,Swainson's thrush,Catharus ustulatus,SWTH,57.35%
00:03:48.31,99.99%,Passeriformes,99.82%,Turdidae,86.40%,other,,,54.66%
00:03:50.73,65.92%,Passeriformes,99.81%,,55.41%,other,,,55.41%
00:03:50.97,69.82%,Passeriformes,99.91%,Turdidae,99.68%,Swainson's thrush,Catharus ustulatus,SWTH,96.09%
00:03:53.39,59.46%,Passeriformes,99.84%,Turdidae,81.42%,other,,,64.06%
00:03:54.62,62.47%,Passeriformes,99.69%,Turdidae,84.03%,Swainson's thrush,Catharus ustulatus,SWTH,81.70%
00:03:57.53,66.26%,Passeriformes,99.82%,Turdidae,85.06%,Swainson's thrush,Catharus ustulatus,SWTH,68.25%
00:03:59.36,61.15%,Passeriformes,98.86%,Passerellidae,54.26%,other,,,70.79%
00:04:08.83,91.65%,Passeriformes,99.97%,Turdidae,89.42%,other,,,73.24%
00:04:09.03,99.99%,Passeriformes,92.58%,Passerellidae,54.37%,other,,,74.49%
00:04:09.48,57.88%,Passeriformes,99.82%,Turdidae,51.44%,other,,,66.85%
00:04:16.63,56.68%,Passeriformes,99.99%,Turdidae,98.91%,Swainson's thrush,Catharus ustulatus,SWTH,88.07%
00:04:22.90,53.58%,Passeriformes,98.76%,Turdidae,73.66%,other,,,52.37%
00:05:15.45,58.31%,Passeriformes,99.96%,Turdidae,96.44%,other,,,82.80%
00:05:19.00,61.22%,Passeriformes,99.93%,Turdidae,98.90%,Swainson's thrush,Catharus ustulatus,SWTH,75.89%
00:05:26.45,50.17%,Passeriformes,95.38%,,58.31%,other,,,58.31%
00:05:36.32,58.48%,Passeriformes,99.24%,,51.14%,other,,,51.14%
00:05:39.18,62.03%,Passeriformes,96.64%,Passerellidae,88.86%,Savannah sparrow,Passerculus sandwichensis,SAVS,92.42%
00:05:55.66,61.22%,Passeriformes,100.00%,Cardinalidae,80.80%,Rose-breasted grosbeak,Pheucticus ludovicianus,RBGR,71.54%
00:06:14.95,59.85%,Passeriformes,99.31%,Turdidae,99.04%,Swainson's thrush,Catharus ustulatus,SWTH,81.04%
00:06:23.24,57.57%,Passeriformes,99.89%,Turdidae,54.29%,other,,,69.08%
00:06:24.57,55.96%,Passeriformes,99.99%,Parulidae,52.09%,other,,,85.98%
00:06:26.55,66.48%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,99.09%
00:06:38.79,50.06%,Passeriformes,93.26%,Passerellidae,81.10%,Savannah sparrow,Passerculus sandwichensis,SAVS,57.98%
00:07:54.97,57.53%,Passeriformes,95.96%,Turdidae,66.43%,other,,,81.26%
00:08:06.71,53.90%,Passeriformes,99.84%,Turdidae,96.87%,Swainson's thrush,Catharus ustulatus,SWTH,94.98%
00:08:11.94,64.95%,Passeriformes,99.98%,Cardinalidae,59.24%,other,,,62.97%
00:08:13.52,67.95%,Passeriformes,99.99%,Turdidae,99.98%,Swainson's thrush,Catharus ustulatus,SWTH,98.65%
00:08:18.26,61.29%,Passeriformes,99.62%,Passerellidae,99.68%,Savannah sparrow,Passerculus sandwichensis,SAVS,99.61%
00:08:21.96,50.92%,Passeriformes,99.19%,Turdidae,83.02%,Swainson's thrush,Catharus ustulatus,SWTH,77.65%
00:08:41.15,53.33%,Passeriformes,99.59%,Turdidae,68.54%,other,,,69.80%
00:09:06.91,74.45%,Passeriformes,99.83%,Parulidae,63.10%,other,,,62.26%
00:09:17.02,61.88%,Passeriformes,99.78%,Passerellidae,61.12%,other,,,58.39%
00:09:24.77,60.56%,Passeriformes,99.84%,Passerellidae,92.29%,Savannah sparrow,Passerculus sandwichensis,SAVS,67.50%
00:09:25.07,69.67%,Passeriformes,97.47%,,55.34%,other,,,55.34%
00:09:26.30,63.60%,Passeriformes,99.88%,Turdidae,95.44%,other,,,55.20%
00:09:26.84,55.94%,Passeriformes,99.93%,Turdidae,99.09%,Swainson's thrush,Catharus ustulatus,SWTH,93.43%
00:09:29.11,56.54%,Passeriformes,99.57%,Turdidae,70.39%,Swainson's thrush,Catharus ustulatus,SWTH,76.99%
00:09:31.09,53.92%,Passeriformes,99.24%,Turdidae,70.71%,Swainson's thrush,Catharus ustulatus,SWTH,61.97%
00:09:31.33,60.74%,Passeriformes,99.07%,Turdidae,85.17%,Swainson's thrush,Catharus ustulatus,SWTH,79.27%
00:09:33.60,99.99%,Passeriformes,98.91%,Turdidae,80.88%,other,,,53.47%
00:09:34.98,64.11%,Passeriformes,86.36%,,58.81%,other,,,58.81%
00:09:35.08,59.68%,Passeriformes,99.99%,Turdidae,99.93%,Swainson's thrush,Catharus ustulatus,SWTH,99.84%
00:09:36.96,76.90%,Passeriformes,99.82%,Turdidae,82.71%,Swainson's thrush,Catharus ustulatus,SWTH,63.71%
00:09:43.67,63.07%,Passeriformes,99.30%,,61.67%,other,,,61.67%
00:09:45.30,60.59%,Passeriformes,100.00%,Turdidae,65.86%,Swainson's thrush,Catharus ustulatus,SWTH,72.82%
00:09:46.19,60.86%,Passeriformes,99.75%,Turdidae,99.47%,Swainson's thrush,Catharus ustulatus,SWTH,89.85%
00:09:47.37,79.41%,Passeriformes,99.98%,Passerellidae,74.42%,other,,,62.75%
00:09:48.11,60.68%,Passeriformes,99.79%,Parulidae,97.51%,other,,,52.59%
00:09:48.36,62.00%,Passeriformes,97.83%,Passerellidae,59.59%,Savannah sparrow,Passerculus sandwichensis,SAVS,72.12%
00:09:53.44,55.20%,Passeriformes,99.93%,Turdidae,99.72%,Gray-cheeked thrush,Catharus minimus,GCTH,70.48%
00:09:55.76,54.83%,Passeriformes,99.69%,Turdidae,80.75%,Swainson's thrush,Catharus ustulatus,SWTH,53.42%
00:10:23.83,61.29%,Passeriformes,99.98%,Parulidae,86.52%,other,,,79.92%
00:10:47.27,50.82%,Passeriformes,99.97%,Turdidae,99.88%,Swainson's thrush,Catharus ustulatus,SWTH,97.01%
00:10:51.56,63.20%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,100.00%
00:10:58.08,61.90%,Passeriformes,89.28%,Passerellidae,85.90%,other,,,74.64%
00:11:01.97,82.63%,Passeriformes,99.95%,Turdidae,86.59%,Swainson's thrush,Catharus ustulatus,SWTH,57.51%
00:11:06.71,64.77%,Passeriformes,99.98%,Passerellidae,99.34%,Savannah sparrow,Passerculus sandwichensis,SAVS,80.29%
00:11:09.43,58.26%,Passeriformes,99.45%,,50.86%,other,,,50.86%
00:11:15.84,54.25%,Passeriformes,99.95%,Turdidae,99.81%,Swainson's thrush,Catharus ustulatus,SWTH,87.33%
00:11:38.54,57.62%,Passeriformes,97.82%,,51.66%,other,,,51.66%
00:11:39.67,63.68%,Passeriformes,99.92%,Turdidae,99.82%,Swainson's thrush,Catharus ustulatus,SWTH,94.32%
00:11:40.86,99.99%,Passeriformes,99.05%,Turdidae,96.33%,Swainson's thrush,Catharus ustulatus,SWTH,82.88%
00:11:45.40,54.81%,Passeriformes,99.96%,Turdidae,99.11%,Swainson's thrush,Catharus ustulatus,SWTH,99.04%
00:11:47.42,99.99%,Passeriformes,95.55%,Turdidae,87.21%,Swainson's thrush,Catharus ustulatus,SWTH,61.13%
00:11:53.49,62.14%,Passeriformes,99.86%,Passerellidae,77.43%,Savannah sparrow,Passerculus sandwichensis,SAVS,55.92%
00:11:56.65,82.33%,Passeriformes,99.73%,Turdidae,99.49%,Swainson's thrush,Catharus ustulatus,SWTH,86.40%
00:12:00.59,52.41%,Passeriformes,99.62%,Turdidae,90.95%,Swainson's thrush,Catharus ustulatus,SWTH,74.31%
00:12:03.75,63.10%,Passeriformes,95.59%,Passerellidae,75.97%,other,,,66.97%
00:12:04.54,57.71%,Passeriformes,99.64%,Turdidae,99.75%,Swainson's thrush,Catharus ustulatus,SWTH,99.32%
00:12:07.11,51.45%,Passeriformes,93.70%,Passerellidae,63.92%,Savannah sparrow,Passerculus sandwichensis,SAVS,78.00%
00:12:07.75,56.35%,Passeriformes,99.92%,Turdidae,98.99%,Swainson's thrush,Catharus ustulatus,SWTH,87.92%
00:12:17.27,63.24%,Passeriformes,100.00%,Turdidae,98.90%,Swainson's thrush,Catharus ustulatus,SWTH,63.96%
00:12:22.21,57.66%,Passeriformes,98.59%,Turdidae,53.66%,other,,,55.51%
00:12:30.79,57.96%,Passeriformes,98.02%,Passerellidae,62.28%,other,,,54.45%
00:12:38.98,63.29%,Passeriformes,99.95%,Turdidae,83.44%,Swainson's thrush,Catharus ustulatus,SWTH,67.27%
00:12:39.28,78.99%,Passeriformes,99.84%,Turdidae,88.87%,other,,,55.21%
00:12:52.45,68.65%,Passeriformes,99.79%,Turdidae,97.64%,Swainson's thrush,Catharus ustulatus,SWTH,64.41%
00:12:56.79,62.49%,Passeriformes,96.56%,,58.42%,other,,,58.42%
00:13:00.00,60.92%,Passeriformes,99.99%,Turdidae,98.89%,Swainson's thrush,Catharus ustulatus,SWTH,95.43%
00:13:00.40,56.91%,Passeriformes,96.63%,Turdidae,50.44%,other,,,67.32%
00:13:04.15,69.29%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,99.79%
00:13:07.06,65.85%,Passeriformes,99.92%,Turdidae,98.28%,Swainson's thrush,Catharus ustulatus,SWTH,63.84%
00:13:09.38,64.01%,Passeriformes,94.42%,Turdidae,88.63%,Swainson's thrush,Catharus ustulatus,SWTH,76.55%
00:13:15.05,53.88%,Passeriformes,99.94%,Turdidae,99.89%,Swainson's thrush,Catharus ustulatus,SWTH,94.54%
00:13:24.03,92.17%,Passeriformes,97.67%,Parulidae,72.26%,other,,,90.36%
00:13:58.03,65.14%,Passeriformes,99.19%,Turdidae,96.61%,Swainson's thrush,Catharus ustulatus,SWTH,76.42%
00:14:00.74,99.99%,Passeriformes,100.00%,Turdidae,99.84%,Swainson's thrush,Catharus ustulatus,SWTH,97.93%
00:14:05.63,59.99%,Passeriformes,99.86%,,50.14%,other,,,50.14%
00:14:14.21,99.99%,Passeriformes,99.87%,Passerellidae,84.51%,Savannah sparrow,Passerculus sandwichensis,SAVS,63.62%
00:14:16.83,63.28%,Passeriformes,99.76%,Passerellidae,90.53%,Savannah sparrow,Passerculus sandwichensis,SAVS,60.93%
00:14:16.93,69.85%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,99.55%
00:14:17.07,50.33%,Passeriformes,88.99%,Turdidae,66.96%,other,,,60.58%
00:14:20.33,59.55%,Passeriformes,99.02%,Turdidae,82.35%,Swainson's thrush,Catharus ustulatus,SWTH,58.78%
00:14:27.83,61.59%,Passeriformes,98.91%,Parulidae,60.17%,other,,,64.23%
00:14:30.30,61.68%,Passeriformes,99.54%,,51.21%,other,,,51.21%
00:14:31.78,99.99%,Passeriformes,99.97%,Parulidae,57.23%,other,,,89.71%
00:14:45.40,63.36%,Passeriformes,99.84%,Passerellidae,68.55%,Savannah sparrow,Passerculus sandwichensis,SAVS,57.78%
00:15:17.57,62.72%,Passeriformes,97.76%,,50.42%,other,,,50.42%
00:15:36.17,99.99%,Passeriformes,99.98%,Turdidae,99.32%,Swainson's thrush,Catharus ustulatus,SWTH,94.27%
00:15:40.90,54.40%,Passeriformes,100.00%,Turdidae,100.00%,Swainson's thrush,Catharus ustulatus,SWTH,97.80%
00:15:50.03,50.66%,Passeriformes,99.57%,Passerellidae,66.38%,Savannah sparrow,Passerculus sandwichensis,SAVS,67.06%
00:15:58.91,50.39%,Passeriformes,99.98%,Turdidae,99.04%,Swainson's thrush,Catharus ustulatus,SWTH,75.16%
00:15:59.31,62.47%,Passeriformes,99.99%,Turdidae,80.82%,Swainson's thrush,Catharus ustulatus,SWTH,71.26%
00:15:59.41,53.26%,Passeriformes,95.87%,Turdidae,93.00%,other,,,58.38%
00:16:07.99,51.00%,Passeriformes,97.78%,Turdidae,66.68%,Swainson's thrush,Catharus ustulatus,SWTH,54.85%
00:16:08.88,61.73%,Passeriformes,99.52%,Turdidae,63.20%,other,,,56.52%
00:16:08.98,62.07%,Passeriformes,95.66%,Turdidae,52.44%,other,,,80.17%
00:16:14.85,99.99%,Passeriformes,99.97%,,60.41%,other,,,60.41%
00:16:18.80,99.99%,Passeriformes,99.04%,,52.29%,other,,,52.29%
00:16:21.71,53.04%,Passeriformes,99.95%,Turdidae,99.97%,Swainson's thrush,Catharus ustulatus,SWTH,99.91%
00:16:23.54,52.52%,Passeriformes,99.83%,Turdidae,98.70%,Swainson's thrush,Catharus ustulatus,SWTH,67.80%
00:16:26.25,84.71%,Passeriformes,99.95%,Turdidae,99.93%,Swainson's thrush,Catharus ustulatus,SWTH,98.99%
00:16:27.83,51.97%,Passeriformes,99.80%,Turdidae,68.76%,Swainson's thrush,Catharus ustulatus,SWTH,83.94%
00:16:30.15,62.09%,Passeriformes,100.00%,Passerellidae,100.00%,Savannah sparrow,Passerculus sandwichensis,SAVS,99.99%
00:16:33.75,53.59%,Passeriformes,97.96%,Passerellidae,56.86%,Savannah sparrow,Passerculus sandwichensis,SAVS,58.05%
00:16:38.64,57.78%,Passeriformes,99.38%,Turdidae,92.26%,Swainson's thrush,Catharus ustulatus,SWTH,79.64%
00:16:41.35,56.60%,Passeriformes,99.99%,Turdidae,99.85%,Swainson's thrush,Catharus ustulatus,SWTH,99.57%
00:16:45.89,59.51%,Passeriformes,97.83%,Turdidae,62.71%,other,,,70.79%
00:16:57.39,53.68%,Passeriformes,100.00%,Turdidae,87.40%,other,,,77.26%
00:17:01.78,51.93%,Passeriformes,99.82%,Turdidae,97.43%,Swainson's thrush,Catharus ustulatus,SWTH,76.86%
00:17:10.56,61.72%,Passeriformes,99.99%,Turdidae,99.99%,Swainson's thrush,Catharus ustulatus,SWTH,89.84%
00:17:12.09,63.30%,Passeriformes,98.78%,Parulidae,73.31%,other,,,88.61%
00:17:13.62,54.04%,Passeriformes,92.89%,Parulidae,66.32%,other,,,73.33%
00:17:21.32,63.56%,Passeriformes,99.47%,Turdidae,99.16%,Swainson's thrush,Catharus ustulatus,SWTH,95.56%
00:17:22.90,56.85%,Passeriformes,98.40%,,70.03%,other,,,70.03%
00:17:24.23,52.24%,Passeriformes,99.73%,Turdidae,90.80%,Swainson's thrush,Catharus ustulatus,SWTH,66.57%
00:17:26.65,99.99%,Passeriformes,99.60%,,63.87%,other,,,63.87%
00:17:29.56,99.99%,Passeriformes,99.89%,Turdidae,93.42%,Swainson's thrush,Catharus ustulatus,SWTH,64.30%
00:17:34.69,63.37%,Passeriformes,98.35%,Turdidae,96.29%,other,,,72.44%
00:17:39.43,53.52%,Passeriformes,99.96%,Turdidae,99.81%,Swainson's thrush,Catharus ustulatus,SWTH,97.70%
00:17:45.64,54.46%,Passeriformes,97.09%,Turdidae,82.94%,Swainson's thrush,Catharus ustulatus,SWTH,56.71%
00:17:48.11,58.02%,Passeriformes,97.25%,,54.88%,other,,,54.88%
00:17:49.00,55.90%,Passeriformes,99.71%,Turdidae,77.20%,Swainson's thrush,Catharus ustulatus,SWTH,80.78%
00:17:50.63,71.00%,Passeriformes,99.91%,Turdidae,98.88%,Swainson's thrush,Catharus ustulatus,SWTH,77.92%
00:17:53.24,69.80%,Passeriformes,99.98%,Parulidae,95.58%,other,,,54.81%
00:17:55.81,60.44%,Passeriformes,99.78%,Turdidae,53.53%,other,,,78.17%
00:17:59.06,50.13%,Passeriformes,97.88%,Passerellidae,61.96%,other,,,86.27%
00:18:09.03,53.85%,Passeriformes,99.70%,Passerellidae,65.91%,Savannah sparrow,Passerculus sandwichensis,SAVS,50.59%
00:18:27.14,56.52%,Passeriformes,99.39%,Turdidae,94.59%,Swainson's thrush,Catharus ustulatus,SWTH,68.73%
00:18:30.69,59.74%,Passeriformes,99.73%,,55.59%,other,,,55.59%
00:18:31.14,62.67%,Passeriformes,99.00%,Turdidae,91.34%,Swainson's thrush,Catharus ustulatus,SWTH,64.08%
00:18:41.10,62.33%,Passeriformes,99.94%,Turdidae,90.20%,other,,,52.29%
00:18:43.87,55.58%,Passeriformes,98.42%,Turdidae,96.71%,Swainson's thrush,Catharus ustulatus,SWTH,94.53%
00:18:58.82,65.59%,Passeriformes,100.00%,Passerellidae,76.53%,other,,,84.16%
00:19:03.75,60.50%,Passeriformes,99.33%,Turdidae,54.81%,Swainson's thrush,Catharus ustulatus,SWTH,57.67%
00:19:04.15,99.99%,Passeriformes,98.07%,,50.05%,other,,,50.05%
00:19:10.26,66.56%,Passeriformes,99.33%,,53.57%,other,,,53.57%
00:19:13.77,61.58%,Passeriformes,99.91%,Turdidae,97.04%,Swainson's thrush,Catharus ustulatus,SWTH,68.18%
00:19:16.53,56.71%,Passeriformes,99.72%,Passerellidae,72.57%,Savannah sparrow,Passerculus sandwichensis,SAVS,76.71%
00:19:18.36,68.50%,Passeriformes,99.82%,Turdidae,86.22%,Swainson's thrush,Catharus ustulatus,SWTH,50.13%
00:19:40.41,67.50%,Passeriformes,99.82%,Parulidae,55.10%,other,,,80.81%
00:19:44.21,60.26%,Passeriformes,97.18%,Passerellidae,95.63%,Savannah sparrow,Passerculus sandwichensis,SAVS,92.74%
00:19:48.11,98.86%,Passeriformes,98.47%,,63.44%,other,,,63.44%
00:20:01.33,56.11%,Passeriformes,98.23%,Passerellidae,82.66%,Savannah sparrow,Passerculus sandwichensis,SAVS,56.61%
00:20:09.38,51.71%,Passeriformes,99.31%,Passerellidae,73.08%,Savannah sparrow,Passerculus sandwichensis,SAVS,85.70%
00:20:14.85,53.59%,Passeriformes,100.00%,Passerellidae,99.76%,Savannah sparrow,Passerculus sandwichensis,SAVS,94.55%
00:20:15.45,67.40%,Passeriformes,99.99%,Passerellidae,99.42%,Savannah sparrow,Passerculus sandwichensis,SAVS,96.72%
00:20:15.59,52.25%,Passeriformes,99.75%,Passerellidae,99.09%,Savannah sparrow,Passerculus sandwichensis,SAVS,57.98%
00:20:17.42,62.54%,Passeriformes,90.71%,,64.43%,other,,,64.43%
00:20:41.35,54.62%,Passeriformes,99.31%,,62.52%,other,,,62.52%
00:20:45.05,64.28%,Passeriformes,99.97%,Turdidae,99.60%,Swainson's thrush,Catharus ustulatus,SWTH,63.48%
00:20:46.73,58.94%,,90.57%,,90.57%,other,,,90.57%
00:20:56.94,54.64%,Passeriformes,99.67%,Passerellidae,67.69%,Savannah sparrow,Passerculus sandwichensis,SAVS,72.77%
00:20:57.29,57.65%,Passeriformes,99.97%,Parulidae,63.74%,other,,,92.91%
00:21:05.08,56.62%,Passeriformes,99.52%,Passerellidae,61.77%,Savannah sparrow,Passerculus sandwichensis,SAVS,73.04%
00:21:07.90,58.88%,Passeriformes,99.43%,Turdidae,76.03%,other,,,69.16%
00:21:16.19,60.19%,Passeriformes,96.14%,Parulidae,84.48%,other,,,98.97%
00:21:20.82,64.42%,Passeriformes,93.48%,,61.53%,other,,,61.53%
00:21:29.95,60.71%,Passeriformes,91.81%,,68.40%,other,,,68.40%
00:21:32.72,63.63%,Passeriformes,99.69%,Parulidae,62.75%,other,,,93.13%
00:21:43.82,51.66%,Passeriformes,69.59%,,64.80%,other,,,64.80%
00:21:45.94,60.39%,Passeriformes,99.78%,,52.89%,other,,,52.89%
